164.51 -48.61 22 2.01 0.81 -2.82 0.67 -0.78 -0.30 24 X Y 201003180628A 5.6
164.51 -48.62 21 0.65 0.30 -0.95 0.39 -0.33 -0.11 24 X Y 201003180642A 5.3
165.76 -45.91 21 1.85 2.24 -4.09 1.04 -3.06 -0.35 23 X Y 201003182129A 5.0
177.42 -38.96 33 -1.85 -0.75 2.60 -1.26 1.62 4.81 23 X Y 201007111323A 5.2
172.12 -43.56 12 0.38 0.01 -0.39 0.49 0.01 -3.60 26 X Y 201009031635A 7.0
172.28 -43.56 12 0.39 0.89 -1.27 -0.14 0.48 -1.78 23 X Y 201009061124A 4.8
171.91 -43.60 12 2.66 -1.88 -0.78 0.61 0.39 -1.60 23 X Y 201009061140A 4.9
176.98 -40.50 31 2.40 -0.52 -1.88 0.73 2.37 -0.92 23 X Y 201009062248A 5.0
165.04 -47.17 29 2.61 0.39 -3.00 0.45 -2.04 0.38 23 X Y 201010240820A 5.0
176.45 -38.24 150 -2.19 3.37 -1.18 -2.15 -2.59 -0.44 23 X Y 201101180845A 5.0
176.03 -38.49 159 0.51 0.33 -0.85 2.79 0.56 -0.54 24 X Y 201101271502A 5.6
172.52 -43.60 12 1.09 0.60 -1.70 0.31 -0.27 -1.20 25 X Y 201102212351A 6.1
172.56 -43.50 12 0.33 1.31 -1.64 0.40 0.10 -1.76 24 X Y 201102220004A 5.5
172.55 -43.50 12 0.03 2.12 -2.15 0.50 0.83 -2.00 24 X Y 201102220150A 5.6
177.92 -42.20 28 -3.11 2.32 0.79 -0.54 -0.72 0.69 23 X Y 201104070716A 4.9
172.73 -43.59 12 1.22 0.32 -1.55 0.41 0.82 -3.53 23 X Y 201104160549A 5.0
172.31 -43.56 14 0.15 2.79 -2.94 0.38 1.75 -1.44 23 X Y 201105091504A 5.0
172.31 -43.49 12 -0.03 2.41 -2.37 -0.30 -0.12 -4.15 23 X Y 201106052109A 5.1
172.62 -43.49 12 0.08 0.67 -0.74 0.17 0.10 -0.36 24 X Y 201106130101A 5.2
172.62 -43.52 12 0.30 0.55 -0.84 0.25 -0.19 -0.75 25 X Y 201106130220A 6.0
172.85 -43.67 13 -0.27 2.21 -1.93 0.25 1.45 -0.83 23 X Y 201106141827A 4.9
172.44 -43.61 12 1.15 -0.23 -0.92 0.15 1.54 -6.81 23 X Y 201106211034A 5.2
175.68 -38.63 159 1.17 0.79 -1.95 1.47 -0.84 0.39 24 X Y 201107050336A 5.6
164.15 -48.92 15 2.05 0.62 -2.67 0.60 -0.31 0.36 24 X Y 201110011054A 5.5
172.70 -43.56 12 0.71 1.25 -1.96 0.38 0.94 -1.81 23 X Y 201110090734A 4.8
174.08 -41.38 69 -0.62 -0.70 1.32 3.30 2.70 4.29 23 X Y 201112030619A 5.2
172.56 -43.67 12 4.36 -0.64 -3.72 1.03 -0.27 -3.10 24 X Y 201112230058A 5.7
172.69 -43.61 12 1.25 -0.34 -0.91 0.56 0.07 -0.57 24 X Y 201112230106A 5.4
172.58 -43.55 12 3.90 0.27 -4.16 0.97 -2.08 -4.47 24 X Y 201112230218A 5.8
172.74 -43.60 12 0.05 0.89 -0.95 0.32 1.39 -2.40 23 X Y 201112231737A 4.9
172.69 -43.53 12 0.74 -0.20 -0.53 0.26 0.08 -0.44 24 X Y 201201011645A 5.2
